name,slug,powerstats.intelligence,powerstats.strength,powerstats.speed,powerstats.durability,powerstats.power,powerstats.combat,appearance.height,appearance.weight,appearance.eyeColor,appearance.hairColor,appearance.gender,appearance.race,work.occupation,biography.fullName,biography.alterEgos,biography.firstAppearance,biography.aliases
A-Bomb,1-a-bomb,38,100,17,80,24,64,"[""6'8"",""203 cm""]","[""980 lb"",""441 kg""]",Yellow,No Hair,Male,Human,"Musician, adventurer, author; formerly talk show host",Richard Milhouse Jones,No alter egos found.,"Hulk Vol 2 #2 (April, 2008) (as A-Bomb)","[""Rick Jones""]"
Abe Sapien,2-abe-sapien,88,28,35,65,100,85,"[""6'3"",""191 cm""]","[""145 lb"",""65 kg""]",Blue,No Hair,Male,Icthyo Sapien,Paranormal Investigator,Abraham Sapien,No alter egos found.,Hellboy: Seed of Destruction (1993),"[""Langdon Everett Caul"",""Abraham Sapien"",""Langdon Caul""]"
Abin Sur,3-abin-sur,50,90,53,64,99,65,"[""6'1"",""185 cm""]","[""200 lb"",""90 kg""]",Blue,No Hair,Male,Ungaran,"Green Lantern, former history professor",,No alter egos found.,"Showcase #22 (October, 1959)","[""Lagzia""]"
Abomination,4-abomination,63,80,53,90,62,95,"[""6'8"",""203 cm""]","[""980 lb"",""441 kg""]",Green,No Hair,Male,Human / Radiation,Ex-Spy,Emil Blonsky,No alter egos found.,Tales to Astonish #90,"[""Agent R-7"",""Ravager of Worlds""]"
Abraxas,5-abraxas,88,63,83,100,100,55,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Blue,Black,Male,Cosmic Entity,Dimensional destroyer,Abraxas,No alter egos found.,Fantastic Four Annual #2001,"[""-""]"
Absorbing Man,6-absorbing-man,38,80,25,100,98,64,"[""6'4"",""193 cm""]","[""270 lb"",""122 kg""]",Blue,No Hair,Male,Human,Professional criminal; former professional boxer,Carl Creel,No alter egos found.,"Daredevil #1 (April, 1964) (As Rocky Davis)","[""Greithoth"",""\""Crusher\"" Creel"",""Rocky Davis"",""Dynamite Davis"",""Lightningbolt"",""Prisoner #24957""]"
Adam Monroe,7-adam-monroe,63,10,12,100,100,64,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Blue,Blond,Male,,"former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army",,No alter egos found.,Heroes S02E01 - Four Months Later...,"[""Takezo Kensei"",""Richard Sanders""]"
Adam Strange,8-adam-strange,69,10,33,40,37,50,"[""6'1"",""185 cm""]","[""195 lb"",""88 kg""]",Blue,Blond,Male,Human,"Adventurer, archaelogist, ambassador",Adam Strange,No alter egos found.,"Outsiders #6 (April, 1986)","[""Warrior of Two Worlds"",""Savior of Rann""]"
Agent Bob,10-agent-bob,10,8,13,5,5,20,"[""5'10"",""178 cm""]","[""181 lb"",""81 kg""]",Brown,Brown,Male,Human,"Mercenary, janitor; former pirate, terrorist",Bob,No alter egos found.,"Cable & Deadpool #38 (May, 2007)","[""Bob"",""agent of Hydra"",""Bob"",""agent of A.I.M""]"
Agent Zero,11-agent-zero,75,28,38,80,72,95,"[""6'3"",""191 cm""]","[""230 lb"",""104 kg""]",-,-,Male,,"Mercenary, former government operative, freedom fighter",Christoph Nord,No alter egos found.,-,"[""Maverick""]"
Air-Walker,12-air-walker,50,85,100,85,100,40,"[""6'2"",""188 cm""]","[""240 lb"",""108 kg""]",Blue,White,Male,,"Former starship captain, Herald of Galactus",Gabriel Lan,No alter egos found.,Fantastic Four #120,"[""-""]"
Ajax,13-ajax,56,48,35,80,34,55,"[""6'4"",""193 cm""]","[""200 lb"",""90 kg""]",Brown,Black,Male,Cyborg,-,Francis,No alter egos found.,"Deadpool #14 (March, 1998)","[""\""Frankie\"""",""the A-Man"",""the Attending""]"
Alan Scott,14-alan-scott,63,80,23,90,100,32,"[""5'11"",""180 cm""]","[""201 lb"",""90 kg""]",Blue,Blond,Male,,-,Alan Ladd Wellington Scott,No alter egos found.,All-American Comics 16 (1940),"[""Green Lantern"",""White King"",""Sentinal""]"
Alex Mercer,15-alex-mercer,50,80,42,90,100,50,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,Human,-,Alexander J. Mercer,No alter egos found.,-,"[""Prototype"",""Zues"",""Blacklight""]"
